"","x"
"101",2
"102",4
"103",4
"104",4
"105",2
"106",4
"107",4
"108",4
"109",4
"110",3
"111",4
"112",4
"113",1
"114",4
"115",4
"116",4
"117",2
"118",2
"119",2
"120",3
"121",2
"122",2
"123",2
"124",4
"125",2
"126",4
"127",3
"128",4
"129",2
"130",2
"131",2
"132",2
"133",2
"134",2
"135",2
"136",3
"137",3
"138",2
"139",3
"140",2
"141",2
"142",2
"143",2
"144",4
"145",2
"146",4
"147",2
"148",2
"150",2
"151",2
"152",4
"153",2
"154",4
"155",2
"156",2
"157",2
"158",2
"159",2
"160",3
"161",3
"162",2
"163",3
"164",3
"165",2
"166",4
"167",3
"168",3
"169",3
"170",2
"171",3
"172",3
"173",2
"174",3
"175",4
"176",2
"177",3
"178",3
"179",2
"180",2
"181",3
"182",2
"183",4
"184",2
"185",2
"186",4
"188",2
"191",3
"192",3
"194",2
"195",3
"196",3
"198",3
"199",2
"200",3
"201",2
"202",4
"203",2
"204",2
"205",2
"206",4
"207",1
"208",3
"209",2
"210",4
"211",4
"212",4
"213",4
"214",2
"215",2
"216",2
"217",2
"218",2
"219",2
"220",2
"221",4
"222",4
"223",2
"224",2
"225",2
"226",2
"227",2
"228",4
"229",2
"230",4
"231",3
"232",4
"233",3
"234",3
"235",3
"236",2
"237",2
"238",2
"239",2
"240",2
"241",2
"242",2
"243",2
"244",2
"245",2
"247",4
"248",2
"249",2
"250",3
"251",3
"252",2
"253",2
"254",3
"255",3
"256",3
"257",2
"258",2
"259",4
"260",3
"262",2
"263",2
"264",2
"265",3
"266",2
"267",2
"268",2
"270",3
"271",3
"272",4
"274",2
"275",2
"276",2
"277",3
"278",3
"279",2
"280",3
"281",3
"282",3
"283",3
"284",2
"285",3
"286",3
"287",3
"288",3
"289",3
"290",3
"291",3
"292",3
"293",3
"300",2
"301",2
"302",4
"303",2
"304",2
"305",2
"306",2
"307",2
"308",2
"309",2
"310",2
"311",4
"312",4
"313",3
"314",2
"315",2
"316",4
"318",3
"320",2
"321",2
"322",2
"323",3
"324",2
"325",3
"326",2
"327",2
"328",2
"329",2
"330",2
"331",2
"332",3
"333",3
"334",4
"335",2
"336",2
"337",3
"338",2
"339",2
"340",4
"341",2
"342",4
"343",2
"344",2
"345",2
"346",4
"347",4
"348",2
"349",2
"350",3
"351",2
"352",3
"353",3
"354",2
"355",2
"356",2
"358",4
"359",2
"361",4
"362",2
"363",2
"364",2
"365",3
"367",2
"368",2
"369",2
"370",2
