"","x"
"101",4
"102",2
"103",2
"104",2
"105",4
"106",2
"107",2
"108",2
"109",2
"110",1
"111",2
"112",2
"113",3
"114",2
"115",2
"116",2
"117",4
"118",4
"119",4
"120",1
"121",4
"122",4
"123",4
"124",2
"125",4
"126",2
"127",1
"128",2
"129",4
"130",4
"131",4
"132",4
"133",4
"134",4
"135",4
"136",1
"137",1
"138",4
"139",1
"140",4
"141",4
"142",4
"143",4
"144",2
"145",4
"146",2
"147",4
"148",4
"150",4
"151",4
"152",2
"153",4
"154",2
"155",4
"156",4
"157",4
"158",4
"159",4
"160",1
"161",1
"162",4
"163",1
"164",1
"165",4
"166",2
"167",1
"168",1
"169",1
"170",4
"171",1
"172",1
"173",4
"174",1
"175",2
"176",4
"177",1
"178",1
"179",4
"180",4
"181",1
"182",4
"183",2
"184",4
"185",4
"186",2
"188",4
"191",1
"192",1
"194",4
"195",1
"196",1
"198",1
"199",4
"200",1
"201",4
"202",2
"203",4
"204",4
"205",4
"206",2
"207",3
"208",1
"209",4
"210",2
"211",2
"212",2
"213",2
"214",4
"215",4
"216",4
"217",4
"218",4
"219",4
"220",4
"221",2
"222",2
"223",4
"224",4
"225",4
"226",4
"227",4
"228",2
"229",4
"230",2
"231",1
"232",2
"233",1
"234",1
"235",1
"236",4
"237",4
"238",4
"239",4
"240",4
"241",4
"242",4
"243",4
"244",4
"245",4
"247",2
"248",4
"249",4
"250",1
"251",1
"252",4
"253",4
"254",1
"255",1
"256",1
"257",4
"258",4
"259",2
"260",1
"262",4
"263",4
"264",4
"265",1
"266",4
"267",4
"268",4
"270",1
"271",1
"272",2
"274",4
"275",4
"276",4
"277",1
"278",1
"279",4
"280",1
"281",1
"282",1
"283",1
"284",4
"285",1
"286",1
"287",1
"288",1
"289",1
"290",1
"291",1
"292",1
"293",1
"300",4
"301",4
"302",2
"303",4
"304",4
"305",4
"306",4
"307",4
"308",4
"309",4
"310",4
"311",2
"312",2
"313",1
"314",4
"315",4
"316",2
"318",1
"320",4
"321",4
"322",4
"323",1
"324",4
"325",1
"326",4
"327",4
"328",4
"329",4
"330",4
"331",4
"332",1
"333",1
"334",2
"335",4
"336",4
"337",1
"338",4
"339",4
"340",2
"341",4
"342",2
"343",4
"344",4
"345",4
"346",2
"347",2
"348",4
"349",4
"350",1
"351",4
"352",1
"353",1
"354",4
"355",4
"356",4
"358",2
"359",4
"361",2
"362",4
"363",4
"364",4
"365",1
"367",4
"368",4
"369",4
"370",4
"371",1
"372",1
"373",1
"374",4
"375",4
"377",1
"378",2
"379",1
"380",4
"381",1
"382",1
"383",2
"384",1
"385",4
"386",4
"387",1
"388",4
"389",1
"390",4
"391",1
