"","bike_id","start_stn","end_stn","eq","use_time_o","b_year","b_month","b_day","b_hour","b_min","b_weekday","r_year","r_month","r_day","r_hour","r_min","r_weekday","use_time_m"
"469360","78","370","376","0",9,"2016","7",1,"11",1,"5","2016","7",1,"11",16,"5",15
"2450602","2851","639","1335","0",16,"2017","5",8,"2",23,"1","2017","5",8,"2",40,"1",17
"3333208","5534","1601","1704","0",65,"2017","6",30,"20",3,"5","2017","6",30,"21",9,"5",66
"3333503","6419","1601","1704","0",53,"2017","6",30,"20",14,"5","2017","6",30,"21",8,"5",54
"3336374","6157","1637","1704","0",34,"2017","6",30,"22",4,"5","2017","6",30,"22",39,"5",35
"3336444","1422","1637","1704","0",32,"2017","6",30,"22",7,"5","2017","6",30,"22",39,"5",32
"3352459","1049","1304","1301","0",18,"2017","7",1,"23",52,"6","2017","7",2,"0",11,"7",19
"3352462","4738","1304","1301","0",17,"2017","7",1,"23",52,"6","2017","7",2,"0",10,"7",18
"3352466","2146","1304","1301","0",17,"2017","7",1,"23",53,"6","2017","7",2,"0",11,"7",18
"3355789","2962","1703","1704","0",67,"2017","7",2,"19",0,"7","2017","7",2,"20",7,"7",67
"3355857","6533","1703","1704","0",56,"2017","7",2,"19",10,"7","2017","7",2,"20",7,"7",57
"3374019","1867","1611","1704","0",80,"2017","7",4,"17",0,"2","2017","7",4,"18",21,"2",81
"3374020","5622","1611","1704","0",80,"2017","7",4,"17",0,"2","2017","7",4,"18",21,"2",81
"3402008","5679","346","1301","0",28,"2017","7",8,"23",18,"6","2017","7",8,"23",47,"6",29
"3436626","103","160","1301","0",68,"2017","7",12,"18",34,"3","2017","7",12,"19",43,"3",69
"3440240","4581","342","1301","0",12,"2017","7",12,"20",45,"3","2017","7",12,"20",58,"3",13
"3461488","2355","1303","1301","0",10,"2017","7",13,"22",52,"4","2017","7",13,"23",2,"4",10
"3496055","5099","362","1301","0",30,"2017","7",16,"21",49,"7","2017","7",16,"22",20,"7",31
"3496086","6153","362","1301","0",29,"2017","7",16,"21",50,"7","2017","7",16,"22",20,"7",30
"3630221","1384","1304","1301","0",3,"2017","7",25,"21",44,"2","2017","7",25,"21",47,"2",3
"3659896","505","388","1301","0",25,"2017","7",27,"15",56,"4","2017","7",27,"16",23,"4",27
"3663448","5517","550","1301","0",31,"2017","7",27,"18",47,"4","2017","7",27,"19",19,"4",32
"3675285","7468","388","1301","0",13,"2017","7",28,"21",3,"5","2017","7",28,"21",17,"5",14
"3675299","6171","388","1301","0",12,"2017","7",28,"21",4,"5","2017","7",28,"21",16,"5",12
"3683834","5621","537","1301","0",41,"2017","7",29,"14",10,"6","2017","7",29,"14",52,"6",42
"3858887","428","388","1301","0",9,"2017","8",9,"1",55,"3","2017","8",9,"2",5,"3",10
"3897061","11743","1952","1817","0",183,"2017","8",11,"20",24,"5","2017","8",11,"23",29,"5",185
"3919314","5993","388","1301","0",17,"2017","8",12,"23",58,"6","2017","8",13,"0",17,"7",19
"3935427","12213","1952","1817","0",52,"2017","8",13,"21",10,"7","2017","8",13,"22",3,"7",53
"3940922","12337","1953","1817","0",3,"2017","8",14,"8",27,"1","2017","8",14,"8",31,"1",4
"3945430","11575","1953","1817","0",2,"2017","8",14,"18",13,"1","2017","8",14,"18",16,"1",3
"3961517","2351","1953","1817","0",47,"2017","8",16,"17",48,"3","2017","8",16,"18",36,"3",48
"3982542","10604","1953","1817","0",5,"2017","8",17,"19",48,"4","2017","8",17,"19",53,"4",5
"3984902","6767","1952","1817","0",39,"2017","8",17,"21",27,"4","2017","8",17,"22",7,"4",40
"4060683","5190","1953","1817","0",3,"2017","8",22,"18",44,"2","2017","8",22,"18",48,"2",4
"4114645","12127","1906","1817","0",37,"2017","8",25,"21",59,"5","2017","8",25,"22",39,"5",40
"4127035","12268","1941","1817","0",15,"2017","8",26,"15",40,"6","2017","8",26,"15",58,"6",18
"4136577","1349","1936","1817","0",23,"2017","8",26,"20",41,"6","2017","8",26,"21",5,"6",24
"4153335","6868","1953","1817","0",4,"2017","8",27,"16",43,"7","2017","8",27,"16",48,"7",5
"4154607","11448","1953","1817","0",4,"2017","8",27,"17",28,"7","2017","8",27,"17",32,"7",4
"4155850","11443","1906","1817","0",75,"2017","8",27,"18",13,"7","2017","8",27,"19",33,"7",80
"4183525","11356","1952","1817","0",13,"2017","8",29,"12",34,"2","2017","8",29,"17",2,"2",268
"4191395","12102","2230","1817","0",87,"2017","8",29,"18",13,"2","2017","8",29,"19",45,"2",92
"4202655","4622","1953","1817","0",3,"2017","8",29,"23",17,"2","2017","8",29,"23",21,"2",4
"4220774","2015","309","1817","0",144,"2017","8",30,"18",54,"3","2017","8",30,"21",19,"3",145
"4225039","2993","1953","1817","0",2,"2017","8",30,"20",49,"3","2017","8",30,"20",52,"3",3
"4225236","11818","1936","1817","0",27,"2017","8",30,"20",54,"3","2017","8",30,"21",20,"3",26
"4230217","5251","1936","1817","0",16,"2017","8",30,"23",56,"3","2017","8",31,"0",14,"4",18
"4230722","2821","1953","1817","0",7,"2017","8",31,"0",35,"4","2017","8",31,"0",43,"4",8
"4384531","944","500","1301","0",8,"2017","9",5,"17",26,"2","2017","9",5,"17",35,"2",9
"4405848","6694","571","1301","0",13,"2017","9",6,"14",14,"3","2017","9",6,"14",28,"3",14
"4408798","6725","592","1301","0",54,"2017","9",6,"20",51,"3","2017","9",6,"21",46,"3",55
"4408804","3918","592","1301","0",53,"2017","9",6,"20",52,"3","2017","9",6,"21",46,"3",54
