start_stn,r_weekday.1,r_weekday.2,r_weekday.3,r_weekday.4,r_weekday.5,r_weekday.6,r_weekday.7
101,0.137845279,0.151034728,0.150279776,0.143174349,0.152233769,0.140643041,0.124789058
102,0.140119221,0.148229015,0.139056399,0.138929322,0.145398674,0.151244195,0.137023174
103,0.13690239,0.141650066,0.140106242,0.141318061,0.145335325,0.154432271,0.140255644
104,0.139519076,0.140232815,0.137802702,0.137564789,0.147064322,0.158976973,0.138839324
105,0.134360424,0.141738516,0.135010601,0.143236749,0.147335689,0.157964664,0.140353357
106,0.129369681,0.133690377,0.130565408,0.123913546,0.13533827,0.178103114,0.169019604
107,0.148071958,0.156782907,0.149263684,0.149973044,0.155633743,0.128209857,0.112064807
108,0.141208048,0.143427983,0.137252528,0.143670158,0.15208573,0.149441989,0.132913564
109,0.136093222,0.13890725,0.133449168,0.133996865,0.138208465,0.164649002,0.154696028
110,0.144683404,0.153036736,0.136837733,0.139976001,0.147867824,0.146206387,0.131391914
111,0.135102826,0.134803967,0.133459103,0.132244989,0.137531053,0.16427891,0.162579151
112,0.142403628,0.144997732,0.142730159,0.144888889,0.14829932,0.139464853,0.13721542
113,0.137914974,0.145474305,0.140757753,0.143011633,0.151320474,0.151796947,0.129723913
114,0.135923153,0.141773869,0.139387552,0.14007801,0.148617874,0.155050028,0.139169513
115,0.143151551,0.147370468,0.146359483,0.143443181,0.148614756,0.137396714,0.133663848
116,0.138660336,0.148084381,0.14538403,0.14612708,0.152035231,0.141958752,0.12775019
117,0.144461045,0.145295953,0.139737224,0.134881575,0.141802522,0.152414642,0.14140704
118,0.147594805,0.143771429,0.14481039,0.147490909,0.148384416,0.14052987,0.127418182
119,0.142573517,0.144979329,0.141242146,0.138135613,0.141685937,0.148693154,0.142690304
120,0.142668987,0.153111623,0.148219578,0.1472788,0.15409944,0.137353591,0.117267981
121,0.142458827,0.157998439,0.142272947,0.150377337,0.145432916,0.143536934,0.117922599
122,0.143761093,0.152146513,0.144892867,0.149780076,0.151426293,0.13534995,0.122643208
123,0.136132548,0.154932153,0.147580557,0.139497458,0.14202114,0.149263012,0.130573132
124,0.14785503,0.150388314,0.145414201,0.144988905,0.144877959,0.138184172,0.12829142
125,0.157577316,0.16386538,0.150379657,0.156054734,0.15024124,0.11500435,0.106877323
126,0.156245896,0.155924883,0.151022135,0.15213109,0.147140793,0.126318708,0.111216494
127,0.148441926,0.147308782,0.143767705,0.146081209,0.149622285,0.139235127,0.125542965
128,0.141840062,0.144376014,0.14132027,0.143903476,0.151322318,0.149243152,0.127994708
129,0.148232469,0.151284681,0.145680618,0.146706362,0.1513097,0.137274524,0.119511646
130,0.140701476,0.14294558,0.138379989,0.139618115,0.14584744,0.154011337,0.138496063
131,0.13638494,0.146435453,0.137921158,0.138702286,0.140550956,0.155158048,0.144847159
132,0.130529958,0.140274688,0.133495746,0.138862409,0.146276877,0.163930375,0.146629947
