start_stn,r_hour.0,r_hour.1,r_hour.2,r_hour.3,r_hour.4,r_hour.5,r_hour.6,r_hour.7,r_hour.8,r_hour.9,r_hour.10,r_hour.11,r_hour.12,r_hour.13,r_hour.14,r_hour.15,r_hour.16,r_hour.17,r_hour.18,r_hour.19,r_hour.20,r_hour.21,r_hour.22,r_hour.23
101,0.033351097,0.029043432,0.022115641,0.014832578,0.01065814,0.01025846,0.022648548,0.051603162,0.065725198,0.049915623,0.043787192,0.041788791,0.0418332,0.04387601,0.04387601,0.036459721,0.040945022,0.054223288,0.080868638,0.071587175,0.056710187,0.044941824,0.04800604,0.040945022
102,0.040537418,0.032508491,0.025473071,0.016623923,0.010859269,0.008028927,0.006642638,0.011875881,0.053129549,0.033525103,0.028199441,0.022746702,0.030325085,0.041912155,0.040225503,0.043437074,0.050576465,0.058420554,0.078360019,0.090027957,0.0746748,0.073069014,0.071451676,0.057369284
103,0.044040505,0.034213147,0.029548473,0.022177955,0.013944223,0.008200531,0.008217131,0.009777556,0.024933599,0.039591633,0.025298805,0.029697875,0.033582337,0.038413015,0.045999336,0.048406375,0.052324037,0.060873174,0.078668659,0.077788845,0.075564409,0.071497344,0.071796149,0.055444887
104,0.034786303,0.022482794,0.016874841,0.011606764,0.007222364,0.004350412,0.003126859,0.007137395,0.023009601,0.025269777,0.022448806,0.021344209,0.030945705,0.040071374,0.048534285,0.0539723,0.063301895,0.075214547,0.101418982,0.104120996,0.078698275,0.076557057,0.072818421,0.05468604
105,0.038303887,0.030303887,0.026911661,0.017498233,0.012636042,0.007886926,0.006501767,0.011477032,0.036720848,0.029314488,0.028212014,0.026176678,0.033583039,0.038360424,0.044636042,0.05209894,0.058007067,0.065215548,0.086784452,0.085964664,0.075674912,0.070190813,0.066798587,0.050742049
106,0.045317069,0.034223933,0.027340963,0.018548849,0.013183147,0.007747109,0.00478291,0.006802584,0.017875624,0.022688679,0.020307272,0.018820149,0.022387235,0.029370686,0.033460275,0.045085962,0.053626873,0.068879935,0.091900202,0.099808081,0.0868058,0.083158328,0.081088414,0.066789924
107,0.041298981,0.036744886,0.026544278,0.018429192,0.012101694,0.00784553,0.01252731,0.014527708,0.032332662,0.03875947,0.031481429,0.030091082,0.040291689,0.045966575,0.043171694,0.048874954,0.049258009,0.057940584,0.089209205,0.077916182,0.061501575,0.064636949,0.0676872,0.050861164
108,0.039050675,0.036366572,0.029182055,0.023531311,0.017073318,0.012815079,0.006437812,0.004560957,0.009000827,0.014893746,0.014974471,0.021351739,0.038606688,0.036750015,0.047809328,0.052572097,0.059110815,0.070795746,0.095114125,0.096082824,0.076749208,0.078343525,0.066981494,0.051845573
109,0.052352263,0.049311602,0.03784774,0.027139323,0.020888024,0.014164573,0.01006629,0.009329732,0.018942756,0.02545846,0.024740788,0.026402765,0.027498159,0.031275378,0.033485052,0.039131995,0.045779901,0.057149332,0.073240288,0.079888194,0.075223328,0.079661561,0.07603543,0.064987063
110,0.059119439,0.049381577,0.021137161,0.01236847,0.00595348,0.006322688,0.009691711,0.027136792,0.065903637,0.036643899,0.029398191,0.026490677,0.039736016,0.037013107,0.03484401,0.043935758,0.04448957,0.054458187,0.074995385,0.071026398,0.06193465,0.058611778,0.067011261,0.06239616
111,0.054354932,0.042213796,0.032500887,0.019780712,0.013336571,0.009544801,0.008162579,0.006257355,0.020826718,0.018678671,0.017240413,0.020882754,0.028821189,0.032500887,0.036628873,0.041354577,0.050339018,0.062872406,0.077759307,0.080374321,0.0764518,0.082970656,0.088294077,0.0778527
112,0.047800454,0.037079365,0.030621315,0.019501134,0.014748299,0.01077551,0.006621315,0.010358277,0.023328798,0.020698413,0.019192744,0.02338322,0.035319728,0.043501134,0.046185941,0.053496599,0.057251701,0.070222222,0.080653061,0.076154195,0.065596372,0.066993197,0.072997732,0.067519274
113,0.032630401,0.024589242,0.021537671,0.015118663,0.009620481,0.006317288,0.004572004,0.009202897,0.031730991,0.025659969,0.021141502,0.020552602,0.027137572,0.035537425,0.039204664,0.047427846,0.057819251,0.069292089,0.108807264,0.11756581,0.08040088,0.07411036,0.070694741,0.049328387
114,0.045218887,0.033214623,0.025510575,0.017600601,0.011628752,0.006674419,0.004481915,0.005729583,0.012052717,0.012258643,0.012307096,0.017540034,0.023826829,0.037938804,0.041088257,0.047508298,0.05998498,0.07190445,0.086791676,0.095610146,0.087082395,0.091116118,0.087155074,0.065775129
115,0.05212404,0.039408963,0.027549334,0.017458929,0.011859629,0.007932342,0.006668611,0.014328764,0.034801205,0.037270341,0.029474094,0.026227277,0.030990571,0.037989696,0.043414018,0.044891611,0.047905123,0.05752892,0.073315836,0.078720715,0.062156119,0.069816273,0.079303976,0.068863614
116,0.03807677,0.032784806,0.025716771,0.015912139,0.011073254,0.007811084,0.008952844,0.035267679,0.070100402,0.044220523,0.036953133,0.038113016,0.039272899,0.040070318,0.038638588,0.042933778,0.050781108,0.058501577,0.067871253,0.067671898,0.061473776,0.06178187,0.061238175,0.044782341
117,0.04196511,0.033835743,0.020081733,0.014017665,0.008590763,0.004811706,0.005492815,0.014039636,0.04754581,0.031572703,0.028255042,0.027551962,0.029573318,0.032605352,0.039899811,0.04440392,0.048820143,0.058882981,0.089137408,0.086127345,0.082062662,0.074900031,0.077514611,0.058311728
118,0.037818182,0.027366234,0.020675325,0.014171429,0.010244156,0.012696104,0.014067532,0.014150649,0.049849351,0.040415584,0.042036364,0.036509091,0.036820779,0.043449351,0.039397403,0.041038961,0.050867532,0.059428571,0.078794805,0.078171429,0.068446753,0.065745455,0.066992208,0.050846753
119,0.030271179,0.025669773,0.019480064,0.012285988,0.008922524,0.006072922,0.01987714,0.022633312,0.085417981,0.04145937,0.039871067,0.033167496,0.037091538,0.035736809,0.03393829,0.03975428,0.051946839,0.052881134,0.068063439,0.08121365,0.064396328,0.069861958,0.069651741,0.050335179
120,0.028035185,0.02483654,0.023190178,0.01284162,0.009313702,0.011336375,0.01881556,0.025918435,0.060444988,0.067877134,0.049437885,0.043605061,0.049861235,0.043322828,0.043181711,0.043275789,0.053248036,0.055317748,0.067171551,0.066324851,0.054329931,0.054188814,0.050284585,0.043840256
121,0.03252909,0.024796461,0.018773932,0.010818246,0.008364623,0.014870441,0.017918882,0.039927135,0.080411911,0.054277111,0.045131789,0.03806833,0.039927135,0.046247072,0.040856537,0.037956801,0.044760028,0.053793821,0.070746124,0.052306777,0.052120897,0.059556117,0.067846388,0.047994349
122,0.034441958,0.024281709,0.01520179,0.009285696,0.009311418,0.010494637,0.013607017,0.034570569,0.072382128,0.065231371,0.053759292,0.048640584,0.041592715,0.044499318,0.046377035,0.038943334,0.046325591,0.053141961,0.071121743,0.061295882,0.062196157,0.054479512,0.048820639,0.039997942
